EPOCH_Time_ms,Wrist_Position,Sensor_Type,Value_X_Axis,Value_Y_Axis,Value_Z_Axis
1680882371128,right,acc,0.9457096457481384,3.2154128551483154,9.141061782836914
1680882371148,right,acc,1.036689281463623,3.270479440689087,9.155426979064941
1680882371168,right,acc,1.1109095811843872,3.023876667022705,9.062053680419922
1680882371189,right,acc,1.2545616626739502,2.9161376953125,8.920795440673828
1680882371208,right,acc,1.091755986213684,3.1316158771514893,9.102754592895508
1680882371228,right,acc,1.05105459690094,3.112462282180786,9.205705642700195
1680882371249,right,acc,0.8212111592292786,3.155557870864868,9.208099365234375
1680882371269,right,acc,0.8690952062606812,3.1747114658355713,9.315838813781738
1680882371290,right,acc,0.9002198576927185,3.0597896575927734,9.114726066589355
1680882371309,right,acc,0.9552865028381348,3.0597896575927734,9.361329078674316
1680882371329,right,acc,0.7565677165985107,3.1220390796661377,9.313444137573242
1680882371349,right,acc,0.6560112833976746,3.1004912853240967,9.117119789123535
1680882371370,right,acc,0.7038952708244324,3.095702886581421,9.21288776397705
1680882371391,right,acc,0.8571242094039917,3.181894063949585,9.390059471130371
1680882371410,right,acc,0.7829039692878723,3.047818660736084,9.354146003723145
1680882371430,right,acc,0.811634361743927,3.0334534645080566,9.44991397857666
1680882371450,right,acc,0.7134721279144287,3.1244332790374756,9.27034854888916
1680882371470,right,acc,0.6488286852836609,3.0573954582214355,9.227252960205078
1680882371491,right,acc,0.5746083855628967,3.1100680828094482,9.191340446472168
1680882371510,right,acc,0.6919242739677429,3.181894063949585,9.318233489990234
1680882371530,right,acc,0.6991068720817566,3.2585084438323975,9.136273384094238
1680882371550,right,acc,0.727837324142456,3.1938650608062744,8.983044624328613
1680882371570,right,acc,0.7254431247711182,3.2561142444610596,8.793902397155762
1680882371591,right,acc,0.5961562395095825,3.292027235031128,8.755595207214355
1680882371611,right,acc,0.44771572947502136,3.40216064453125,8.774748802185059
1680882371631,right,acc,0.5267243981361389,3.2417490482330322,8.863334655761719
1680882371654,right,acc,0.6320692300796509,3.0621838569641113,8.99740982055664
1680882371671,right,acc,0.7230489253997803,3.0142998695373535,9.349357604980469
